park	recreational_visits	non_recreational_visits	recreational_hours	non_recreational_hours	concessioner_lodging	concessioner_camping	tents_overnight	rv_overnights	backcountry_overnights	non_recreational_overnights	misc_overnights
Abraham Lincoln Birthplace NHP	"269,580"	0	"269,580"	0	0	0	0	0	0	0	0
Acadia NP	"3,509,271"	"47,100"	"24,014,370"	"47,100"	0	"1,657"	"152,586"	"55,812"	"1,597"	0	"10,889"
Adams NHP	"255,562"	"1,036"	"254,438"	517	0	0	0	0	0	0	0
African Burial Ground NM	"43,182"	0	"32,539"	0	0	0	0	0	0	0	0
Agate Fossil Beds NM	"32,038"	0	"65,694"	0	0	0	0	0	0	0	0
Alibates Flint Quarries NM	"6,613"	0	"16,531"	0	0	0	0	0	0	0	0
Allegheny Portage Railroad NHS	"201,837"	180	"311,595"	48	0	0	0	0	0	0	0
Amistad NRA	"1,221,635"	"1,128"	"8,938,806"	"1,128"	0	0	0	"11,019"	0	0	"1,605"
Andersonville NHS	"132,149"	0	"264,295"	0	0	0	0	0	0	0	0
Andrew Johnson NHS	"53,998"	0	"28,225"	0	0	0	0	0	0	0	0
Aniakchak NM & PRES	100	0	"5,640"	0	0	0	0	0	235	0	0
Antietam NB	"366,508"	0	"763,974"	0	0	0	0	0	0	0	357
Apostle Islands NL	"203,421"	"1,054"	"776,818"	263	0	0	0	0	"11,550"	0	"7,614"
Appomattox Court House NHP	"113,960"	0	"165,513"	0	0	0	0	0	0	0	0
Arches NP	"1,539,028"	0	"4,672,677"	0	0	0	"1,426"	826	65	0	0
Arkansas Post NMEM	"36,079"	0	"54,442"	0	0	0	0	0	0	0	18
Arlington House The R.E. Lee MEM	"726,059"	0	"363,031"	0	0	0	0	0	0	0	0
Assateague Island NS	"2,347,167"	"3,600"	"19,970,763"	"3,600"	0	0	"41,941"	"22,832"	"1,633"	0	"14,814"
Aztec Ruins NM	"52,756"	"1,835"	"79,135"	"1,835"	0	0	0	0	0	0	0
Badlands NP	"1,054,325"	"67,459"	"4,908,225"	"33,730"	"9,646"	"48,157"	"4,930"	859	"2,433"	0	338
Bandelier NM	"209,141"	840	"940,135"	120	0	0	"5,358"	"5,500"	638	0	"5,261"
Belmont-Paul Women's Equality NM	"10,893"	"2,576"	"10,446"	"1,288"	0	0	0	0	0	0	0
Bent's Old Fort NHS	"26,397"	0	"46,194"	0	0	0	0	0	0	0	0
Bering Land Bridge NPRES	"2,642"	"1,128"	"7,926"	"9,024"	0	0	0	0	"1,123"	360	0
Big Bend NP	"440,276"	"2,364"	"11,005,448"	"7,092"	"44,485"	"8,204"	"65,446"	"33,529"	"42,555"	0	"44,203"
Big Cypress NPRES	"922,883"	0	"3,106,348"	0	0	0	"2,128"	"8,814"	"2,532"	0	0
Big Hole NB	"36,717"	0	"53,785"	0	0	0	0	0	0	0	0
Big South Fork NRRA	"761,200"	0	"5,539,756"	0	"3,703"	0	"8,848"	"36,309"	"11,647"	0	"2,878"
Big Thicket NPRES	"170,649"	0	"589,027"	0	0	0	0	0	"2,747"	0	0
Bighorn Canyon NRA	"231,836"	"6,900"	"885,290"	"3,447"	0	0	"2,016"	"6,669"	0	0	0
Biscayne NP	"446,961"	0	"1,529,665"	0	0	0	"2,452"	0	0	0	"5,414"
Black Canyon of the Gunnison NP	"307,143"	0	"1,746,554"	0	0	0	"18,795"	"12,257"	"1,708"	0	0
Blue Ridge PKWY	"16,093,765"	"1,942,260"	"100,208,628"	"971,136"	"49,906"	0	"63,240"	"36,031"	"1,447"	0	"1,294"
Bluestone NSR	"32,028"	0	"80,069"	0	0	0	0	0	0	0	0
Booker T. Washington NM	"25,479"	84	"52,122"	12	0	0	0	0	0	0	0
Boston African American NHS	"413,151"	0	"826,302"	0	0	0	0	0	0	0	0
Boston NHP	"3,425,606"	"64,620"	"2,621,338"	"10,987"	0	0	0	0	0	0	0
Brown v. Board of Education NHS	"25,204"	0	"50,408"	0	0	0	0	0	0	0	0
Bryce Canyon NP	"2,571,684"	"420,540"	"14,027,927"	"126,163"	"54,525"	0	"33,492"	"61,386"	"2,414"	0	"1,414"
Buck Island Reef NM	"33,082"	0	"201,009"	0	0	0	0	0	0	0	"3,840"
Buffalo NR	"1,471,330"	0	"9,792,436"	0	"2,687"	0	"43,603"	"13,112"	"33,396"	0	"9,536"
Cabrillo NM	"997,903"	"81,792"	"1,491,544"	"20,447"	0	0	0	0	0	0	0
Canaveral NS	"1,598,586"	0	"4,050,858"	0	0	0	0	0	"2,465"	0	0
Cane River Creole NHP	"30,117"	0	"60,236"	0	0	0	0	0	0	0	0
Canyon de Chelly NM	"825,660"	"1,213,974"	"5,313,761"	"2,427,949"	"19,216"	"10,058"	0	0	709	0	0
Canyonlands NP	"742,271"	0	"5,375,294"	0	0	0	"13,565"	"8,519"	"82,188"	0	828
Cape Cod NS	"4,125,418"	"29,548"	"8,266,273"	"177,288"	"3,532"	0	0	0	0	0	"11,391"
Cape Hatteras NS	"2,433,703"	"129,195"	"10,788,402"	"389,689"	0	0	"42,730"	"30,827"	0	140	"5,538"
Cape Krusenstern NM	"15,000"	"7,500"	"37,400"	"60,000"	0	0	0	0	"6,375"	"5,525"	0
Cape Lookout NS	"399,357"	"4,800"	"2,281,662"	"14,400"	"33,553"	0	0	0	845	0	0
Capitol Reef NP	"1,150,165"	"53,170"	"1,716,156"	"53,170"	0	0	"18,139"	"20,824"	"3,813"	0	"2,137"
Capulin Volcano NM	"59,615"	350	"82,705"	350	0	0	0	0	0	0	0
Carl Sandburg Home NHS	"72,777"	0	"112,161"	0	0	0	0	0	0	0	0
Carlsbad Caverns NP	"520,026"	0	"1,995,967"	0	0	0	0	0	202	0	0
Carter G. Woodson Home NHS	"1,884"	0	"1,201"	0	0	0	0	0	0	0	0
Casa Grande Ruins NM	"75,583"	"2,160"	"102,952"	216	0	0	0	0	0	0	0
Castillo de San Marcos NM	"876,975"	0	"657,731"	0	0	0	0	0	0	0	0
Castle Clinton NM	"4,737,113"	732	"2,377,555"	320	0	0	0	0	0	0	0
Catoctin Mountain Park	"236,243"	"188,970"	"1,139,156"	"22,422"	0	0	"3,558"	232	594	0	"21,946"
Cedar Breaks NM	"909,199"	"77,371"	"1,888,004"	"154,745"	0	0	"2,296"	"1,571"	0	0	0
Cesar E. Chavez NM	"15,472"	0	"7,735"	0	0	0	0	0	0	0	0
Chaco Culture NHP	"55,334"	"10,560"	"909,248"	"10,560"	0	0	"14,591"	"10,101"	0	0	"1,762"
Chamizal NMEM	"86,400"	"46,238"	"106,453"	"161,832"	0	0	0	0	0	0	0
Channel Islands NP	"383,687"	"11,449"	"3,932,871"	"274,776"	0	0	0	0	"22,934"	"12,925"	"28,017"
Charles Pinckney NHS	"53,744"	0	"107,487"	0	0	0	0	0	0	0	0
Charles Young Buffalo Soldiers NM	"12,405"	0	"24,534"	0	0	0	0	0	0	0	0
Chattahoochee River NRA	"2,768,499"	0	"11,074,006"	0	0	0	0	0	0	0	0
Chesapeake & Ohio Canal NHP	"4,859,573"	"11,880"	"10,284,936"	"11,880"	0	0	"23,669"	531	0	0	"4,896"
Chickamauga & Chattanooga NMP	"994,537"	"2,379,475"	"1,950,143"	"356,922"	0	0	0	0	0	0	"2,489"
Chickasaw NRA	"1,533,684"	"1,679,746"	"7,275,240"	"134,379"	0	0	"82,875"	"57,313"	0	0	"29,605"
Chiricahua NM	"63,132"	"3,600"	"356,858"	"1,200"	0	0	"7,430"	"6,828"	0	0	"1,230"
Christiansted NHS	"96,779"	0	"57,532"	0	0	0	0	0	0	0	0
City of Rocks NRES	"130,276"	0	"455,966"	0	0	0	0	0	0	0	0
Clara Barton NHS	0	0	0	0	0	0	0	0	0	0	0
Colonial NHP	"3,333,448"	"2,106,650"	"3,541,580"	"1,053,323"	0	0	0	0	0	0	0
Colorado NM	"375,035"	"350,601"	"1,292,944"	"175,302"	0	0	"16,195"	"16,345"	407	0	0
Congaree NP	"159,595"	0	"703,583"	0	0	0	0	0	"1,424"	0	"9,816"
Coronado NMEM	"131,614"	"2,508"	"140,356"	"1,248"	0	0	0	0	0	0	0
Cowpens NB	"212,692"	0	"212,092"	0	0	0	0	0	0	0	386
Crater Lake NP	"711,749"	"49,600"	"3,851,809"	"24,800"	"30,666"	"36,333"	"4,317"	0	"2,851"	0	0
Craters of the Moon NM	"285,227"	0	"833,329"	0	0	0	"8,414"	"8,510"	347	0	"1,071"
Cumberland Gap NHP	"737,547"	"7,814,995"	"1,490,210"	"5,559,103"	0	0	"4,009"	"9,545"	"1,301"	0	0
Cumberland Island NS	"51,937"	0	"727,121"	0	0	0	"12,664"	0	"6,253"	0	0
Curecanti NRA	"1,041,446"	0	"4,696,697"	0	0	0	"21,624"	"47,320"	962	0	"1,433"
Cuyahoga Valley NP	"2,226,879"	0	"6,389,081"	0	"7,670"	0	0	0	0	0	997
Dayton Aviation Heritage NHP	"99,700"	0	"136,661"	0	0	0	0	0	0	0	0
De Soto NMEM	"233,354"	0	"385,034"	0	0	0	0	0	0	0	0
Death Valley NP	"1,294,827"	"49,300"	"9,611,792"	"73,949"	"40,400"	"10,106"	"80,544"	"96,071"	0	0	"2,246"
Delaware Water Gap NRA	"3,400,944"	"54,000"	"14,616,095"	"27,000"	0	"9,001"	0	0	"17,242"	0	"24,373"
Denali NP & PRES	"642,809"	"793,286"	"8,445,731"	"198,321"	0	"27,248"	0	0	"32,887"	0	0
Devils Postpile NM	"109,571"	0	"383,497"	0	0	0	0	0	0	0	0
Devils Tower NM	"499,031"	"4,524"	"1,483,412"	"2,263"	0	0	"9,210"	"8,651"	0	0	0
Dinosaur NM	"315,859"	732	"1,737,975"	732	0	0	"17,623"	"13,957"	"31,698"	0	"4,000"
Dry Tortugas NP	"54,281"	"1,476"	"676,371"	"17,712"	0	0	"5,342"	0	0	"1,476"	"5,524"
Edgar Allan Poe NHS	"14,878"	0	"14,878"	0	0	0	0	0	0	0	0
Effigy Mounds NM	"67,006"	"1,200"	"167,517"	204	0	0	0	0	0	0	0
Eisenhower NHS	"50,597"	0	"80,955"	0	0	0	0	0	0	0	0
El Malpais NM	"161,526"	720	"646,101"	180	0	0	0	0	0	0	0
El Morro NM	"59,013"	"12,343"	"201,594"	"4,074"	0	0	"2,699"	"1,700"	0	0	0
Eleanor Roosevelt NHS	"67,621"	0	"101,433"	0	0	0	0	0	0	0	0
Eugene O'Neill NHS	"3,931"	87	"6,517"	174	0	0	0	0	0	0	0
Everglades NP	"1,018,557"	"6,766"	"3,718,824"	"30,449"	0	0	"5,238"	"8,137"	"17,393"	0	"3,981"
Federal Hall NMEM	"325,497"	"3,002"	"247,106"	"2,324"	0	0	0	0	0	0	0
Fire Island NS	"456,392"	"225,126"	"1,331,510"	"675,378"	0	0	0	0	"3,147"	0	"8,388"
First Ladies NHS	"13,085"	0	"26,170"	0	0	0	0	0	0	0	0
Flight 93 NMEM	"364,082"	0	"364,082"	0	0	0	0	0	0	0	0
Florissant Fossil Beds NM	"71,763"	0	"88,303"	0	0	0	0	0	0	0	0
Ford's Theatre NHS	"744,266"	"6,392"	"1,157,126"	"19,176"	0	0	0	0	0	0	0
Fort Bowie NHS	"8,491"	0	"16,982"	0	0	0	0	0	0	0	0
Fort Caroline NMEM	"243,960"	0	"243,960"	0	0	0	0	0	0	0	0
Fort Davis NHS	"60,910"	338	"133,972"	512	0	0	0	0	0	0	0
Fort Donelson NB	"208,816"	"416,369"	"140,560"	"13,742"	0	0	0	0	0	0	62
Fort Frederica NM	"188,089"	"1,800"	"189,828"	444	0	0	0	0	0	0	0
Fort Laramie NHS	"61,513"	365	"92,269"	544	0	0	0	0	0	0	0
Fort Larned NHS	"29,188"	0	"58,376"	0	0	0	0	0	0	0	0
Fort Matanzas NM	"578,981"	0	"587,667"	0	0	0	0	0	0	0	0
Fort McHenry NM & HS	"591,861"	720	"887,796"	360	0	0	0	0	0	0	0
Fort Necessity NB	"294,145"	120	"419,619"	48	0	0	0	0	0	0	335
Fort Point NHS	"1,532,541"	0	"904,953"	0	0	0	0	0	0	0	0
Fort Pulaski NM	"360,591"	"19,476"	"901,481"	"4,872"	0	0	0	0	0	0	0
Fort Raleigh NHS	"274,981"	"1,344"	"395,437"	"1,344"	0	0	0	0	0	0	0
Fort Scott NHS	"28,948"	334	"43,423"	110	0	0	0	0	0	0	0
Fort Smith NHS	"141,914"	0	"126,807"	0	0	0	0	0	0	0	0
Fort Stanwix NM	"106,936"	0	"160,405"	0	0	0	0	0	0	0	0
Fort Sumter NM	"896,569"	0	"2,148,220"	0	0	0	0	0	0	0	0
Fort Union NM	"11,676"	240	"13,777"	24	0	0	0	0	0	0	0
Fort Union Trading Post NHS	"13,329"	813	"16,347"	206	0	0	0	0	0	0	0
Fort Vancouver NHS	"1,081,489"	0	"970,335"	0	0	0	0	0	0	0	0
Fort Washington Park	"317,470"	0	"1,217,103"	0	0	0	0	0	0	0	0
Fossil Butte NM	"21,978"	309	"48,494"	348	0	0	0	0	0	0	0
Franklin Delano Roosevelt MEM	"3,507,402"	0	"1,753,702"	0	0	0	0	0	0	0	0
Frederick Douglass NHS	"76,569"	0	"76,569"	0	0	0	0	0	0	0	0
Frederick Law Olmsted NHS	"11,388"	4	"22,776"	5	0	0	0	0	0	0	0
Fredericksburg & Spotsylvania NMP	"919,311"	"1,217,246"	"436,391"	"148,109"	0	0	0	0	0	0	0
Friendship Hill NHS	"39,377"	0	"91,169"	0	0	0	0	0	0	0	0
Gates of the Arctic NP & PRES	"11,177"	0	"157,731"	0	0	0	0	0	"6,355"	0	0
Gateway NRA	"9,190,610"	"1,503,109"	"25,781,847"	"3,006,220"	0	0	"18,577"	"3,167"	0	0	"1,466"
Gauley River NRA	"118,733"	0	"380,859"	0	0	0	"3,914"	814	0	0	0
General Grant NMEM	"97,005"	153	"58,774"	38	0	0	0	0	0	0	0
George Rogers Clark NHP	"117,268"	0	"157,139"	0	0	0	0	0	0	0	0
George Washington Birthplace NM	"122,457"	"7,200"	"376,854"	"7,200"	0	0	0	0	0	0	0
George Washington Carver NM	"46,466"	0	"60,405"	0	0	0	0	0	0	0	0
George Washington MEM PKWY	"7,562,793"	"37,222,906"	"8,092,386"	"18,611,452"	0	0	0	0	0	0	0
Gettysburg NMP	"1,038,649"	"74,400"	"4,623,881"	"12,348"	0	0	0	0	0	0	"7,232"
Gila Cliff Dwellings NM	"78,872"	0	"118,308"	0	0	0	0	0	0	0	0
Glacier Bay NP & PRES	"547,057"	381	"7,062,494"	"97,380"	"12,352"	0	901	0	"5,986"	"4,030"	"13,267"
Glacier NP	"3,305,512"	"15,807"	"35,871,856"	"132,038"	"109,228"	0	"127,661"	"111,639"	"34,011"	0	880
Glen Canyon NRA	"4,574,940"	"34,622"	"48,247,935"	"415,453"	"73,008"	"103,684"	"16,048"	"6,244"	"43,246"	0	"686,271"
Golden Gate NRA	"14,981,897"	0	"24,863,862"	0	"23,122"	0	"3,473"	0	835	0	"5,731"
Golden Spike NHS	"67,811"	"31,000"	"159,097"	"15,500"	0	0	0	0	0	0	0
Governors Island NM	"625,653"	0	"1,251,306"	0	0	0	0	0	0	0	0
Grand Canyon NP	"6,254,238"	"26,158"	"98,614,576"	"26,158"	"653,927"	"32,139"	"147,320"	"70,862"	"312,503"	0	"29,005"
Grand Portage NM	"96,051"	0	"209,226"	0	0	0	0	0	53	0	0
Grand Teton NP	"3,317,000"	"1,652,347"	"22,460,367"	"1,652,347"	"230,910"	"368,039"	79	205	"40,193"	0	"2,077"
Grant-Kohrs Ranch NHS	"24,072"	0	"29,610"	0	0	0	0	0	0	0	0
Great Basin NP	"168,028"	748	"1,440,218"	374	0	0	"26,769"	"14,793"	403	0	311
Great Sand Dunes NP & PRES	"486,935"	470	"2,308,335"	470	0	0	"26,782"	"14,972"	"4,313"	0	"5,623"
Great Smoky Mountains NP	"11,338,893"	"10,396,268"	"83,343,604"	"5,198,137"	"11,160"	0	"160,464"	"110,097"	"104,352"	0	"22,285"
Greenbelt Park	"141,856"	0	"678,600"	0	0	0	"10,331"	"8,468"	0	0	538
Guadalupe Mountains NP	"225,257"	0	"558,124"	0	0	0	"12,100"	"7,183"	"3,896"	0	"2,579"
Guilford Courthouse NMP	"348,991"	"4,640,414"	"217,295"	"38,515"	0	0	0	0	0	0	8
Gulf Islands NS	"3,952,941"	"87,583"	"12,176,436"	"17,858"	0	0	"41,519"	"115,623"	360	0	"5,245"
Hagerman Fossil Beds NM	"31,122"	0	"46,680"	0	0	0	0	0	0	0	0
Haleakala NP	"1,112,390"	"29,088"	"2,717,910"	"20,160"	0	0	"7,191"	0	"2,877"	0	"4,840"
Hamilton Grange NMEM	"85,603"	248	"59,636"	215	0	0	0	0	0	0	0
Hampton NHS	"32,327"	600	"48,490"	600	0	0	0	0	0	0	0
Harpers Ferry NHP	"342,535"	0	"1,370,134"	0	0	0	0	0	0	0	0
Harry S Truman NHS	"45,435"	0	"32,938"	0	0	0	0	0	0	0	0
Hawaii Volcanoes NP	"2,016,702"	"1,856,243"	"12,543,575"	"612,561"	"34,673"	"7,807"	"1,536"	53	"4,755"	0	"89,472"
Herbert Hoover NHS	"144,619"	"18,000"	"144,619"	"1,200"	0	0	0	0	0	0	0
Home of Franklin D. Roosevelt NHS	"185,743"	0	"299,328"	0	0	0	0	0	0	0	0
Homestead NM of America	"123,400"	"423,673"	"222,603"	"67,788"	0	0	0	0	0	0	0
Hopewell Culture NHP	"62,413"	0	"124,828"	0	0	0	0	0	0	0	0
Hopewell Furnace NHS	"49,306"	600	"59,168"	300	0	0	0	0	0	0	0
Horseshoe Bend NMP	"74,255"	"1,014,144"	"180,109"	"338,014"	0	0	0	0	0	0	0
Hot Springs NP	"1,561,616"	"2,455,528"	"1,401,560"	"491,105"	0	0	"1,467"	"22,543"	0	0	0
Hovenweep NM	"39,970"	300	"146,326"	60	0	0	"1,346"	"1,420"	0	0	0
Hubbell Trading Post NHS	"45,800"	"4,584"	"23,663"	"1,056"	0	0	0	0	0	0	0
Independence NHP	"4,790,758"	0	"7,250,506"	0	0	0	0	0	0	0	0
Indiana Dunes NL	"2,158,471"	"5,253"	"5,796,301"	"2,627"	0	0	"20,082"	"4,885"	0	0	0
Isle Royale NP	"28,196"	133	"1,239,498"	"10,348"	"11,372"	185	"3,850"	0	"21,693"	423	"12,538"
James A. Garfield NHS	"53,536"	0	"107,072"	0	0	0	0	0	0	0	0
